city,driver_count,type
Kelseyland,63,Urban
Nguyenbury,8,Urban
East Douglas,12,Urban
West Dawnfurt,34,Urban
Rodriguezburgh,52,Urban
South Josephville,4,Urban
West Sydneyhaven,70,Urban
Travisville,37,Urban
Torresshire,70,Urban
Lisaville,66,Urban
Mooreview,34,Urban
Smithhaven,67,Urban
Carrollfort,55,Urban
Port Josephfurt,28,Urban
Lake Jeffreyland,15,Urban
South Louis,12,Urban
West Peter,61,Urban
Kimberlychester,13,Urban
Alyssaberg,67,Urban
Sarabury,46,Urban
Yolandafurt,7,Urban
Edwardsbury,11,Urban
New Andreamouth,42,Urban
New David,31,Urban
Arnoldview,41,Urban
Williamshire,70,Urban
Lisatown,47,Urban
New Aaron,60,Urban
Swansonbury,64,Urban
Fosterside,69,Urban
New Jeffrey,58,Urban
West Brittanyton,9,Urban
Wiseborough,55,Urban
New Maryport,26,Urban
Lake Stevenbury,63,Urban
New Christine,22,Urban
Spencertown,68,Urban
Russellport,9,Urban
Maryside,20,Urban
West Alexis,47,Urban
Port Samantha,55,Urban
Eriktown,15,Urban
Pamelahaven,30,Urban
Aprilchester,49,Urban
South Roy,35,Urban
Pearsonberg,43,Urban
Sandymouth,11,Urban
East Erin,43,Urban
Port Johnstad,22,Urban
Vickimouth,13,Urban
Jacobfort,52,Urban
South Bryanstad,73,Urban
West Oscar,11,Urban
Antoniomouth,21,Urban
Stewartview,49,Urban
West Brandy,12,Urban
Davidtown,73,Urban
Kellershire,51,Urban
Zimmermanmouth,45,Urban
Port Martinberg,44,Urban
Lake Sarashire,8,Urban
Prattfurt,43,Urban
Davistown,25,Urban
West Jefferyfurt,65,Urban
Lake Jennaton,65,Urban
Alvarezhaven,21,Urban
Carrollbury,4,Suburban
Williamchester,26,Suburban
New Michelleberg,9,Suburban
West Evan,4,Suburban
South Gracechester,19,Suburban
East Jenniferchester,22,Suburban
West Paulport,5,Suburban
New Brandonborough,9,Suburban
Floresberg,7,Suburban
Lake Brenda,24,Suburban
Kyleton,12,Suburban
Thomastown,1,Suburban
South Shannonborough,9,Suburban
Jeffreyton,8,Suburban
Port Michelleview,16,Suburban
West Pamelaborough,27,Suburban
Sarahview,18,Suburban
New Cindyborough,20,Suburban
Port James,15,Suburban
New Samanthaside,16,Suburban
Paulfort,13,Suburban
Jasonfort,25,Suburban
North Tara,14,Suburban
East Cherylfurt,9,Suburban
Rodriguezview,10,Suburban
Tiffanyton,21,Suburban
Port Alexandria,27,Suburban
South Jennifer,6,Suburban
Anitamouth,16,Suburban
Conwaymouth,18,Suburban
New Lynn,20,Suburban
Port Jose,11,Suburban
Johnland,13,Suburban
West Tony,17,Suburban
Port James,3,Suburban
Campbellport,26,Suburban
Port Guytown,26,Suburban
Webstertown,26,Suburban
Clarkstad,21,Suburban
North Tracyfort,18,Suburban
Martinmouth,5,Suburban
New Jessicamouth,22,Suburban
South Elizabethmouth,3,Rural
East Troybury,3,Rural
Kinghaven,3,Rural
New Johnbury,6,Rural
Erikport,3,Rural
Jacksonfort,6,Rural
Shelbyhaven,9,Rural
Matthewside,4,Rural
Kennethburgh,3,Rural
South Joseph,3,Rural
Manuelchester,7,Rural
Stevensport,6,Rural
North Whitney,10,Rural
East Stephen,6,Rural
East Leslie,9,Rural
Hernandezshire,10,Rural
Horneland,8,Rural
West Kevintown,5,Rural
